Статус,Тип,Размер,Размер (байт),Путь на продакшене (public_html/),Локальный путь
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,2 МБ,2459838,docs/dokumenty/Приказ-№-2-от-10.01.2022-Изменения-в-положения-по-детям-сиротам-2022.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,280 КБ,287058,docs/dokumenty/Приказ-№106-Об-утверждении-положения-о-Совете-техникума-26.09.2024.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,4 МБ,5186447,docs/dokumenty/Приказ-№107-Об-утверждении-локально-нормативных-актов-28.10.25.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,346 КБ,354656,docs/dokumenty/Приказ-№109-О-внесении-изменений-в-положение-об-организации-питания-обучающихся-ГБПОУ-РО-СИТ-01.12.23.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,377 КБ,386696,docs/dokumenty/Приказ-№109-О-внесении-изменений-в-положение-об-организации-питания-обучающихся-ГБПОУ-РО-СИТ-01.12.23.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,7 МБ,7411374,docs/dokumenty/Приказ-№119-Об-утверждении-локально-нормативных-актов-регулирующих-вопросы-проживания-в-общежитии-ГБПОУ-РО-СИТ-04.12.2025.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,6 МБ,6630889,docs/dokumenty/Приказ-№119-Об-утверждении-локально-нормативных-актов-регулирующих-вопросы-проживания-в-общежитии-ГБПОУ-РО-СИТ-04.12.2025.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,687 КБ,703917,docs/dokumenty/Приказ-№131-Об-утверждении-локальных-нормативных-актов-30.12.2022.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,39 КБ,40009,docs/dokumenty/Приказ-№131-Об-утверждении-локальных-нормативных-актов-30.12.22.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,112 КБ,114790,docs/dokumenty/Приказ-№131-Об-утверждении-локальных-нормативных-актов-30.12.22.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,35 КБ,36717,docs/dokumenty/Приказ-№150-Об-утверждении-положения-об-Общем-собрании-работников-и-обучающихся-техникума-24.12.2024.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,82 КБ,84018,docs/dokumenty/Приказ-№150-Об-утверждении-положения-об-Общем-собрании-работников-и-обучающихся-техникума-24.12.2024.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,123 КБ,126038,docs/dokumenty/Приказ-№20-от-16.02.2026-Об-утверждении-Правил-приема-на-обучение-по-образовательным-программамм-СПО-в-ГБПОУ-РО-СИТ-на-2026-27-уч.год.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,40 КБ,41788,docs/dokumenty/Приказ-№22-Об-утверждении-Положения-о-приемной-комиссии-12.02.2025.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,112 КБ,115644,docs/dokumenty/Приказ-№22-Об-утверждении-Положения-о-приемной-комиссии-12.02.2025.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,46 КБ,48032,docs/dokumenty/Приказ-№24-от-25.02.2026-Об-утверждении-Положения-о-приемной-комиссии-2026.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,87 КБ,89185,docs/dokumenty/Приказ-№24-от-25.02.2026-Об-утверждении-Положения-о-приемной-комиссии-2026.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,5 МБ,5505025,docs/dokumenty/Приказ-№55-О-внедрении-ИКОП-Сферум-и-приложение-26.05.2023.pdf,
ОТСУТСТВУЕТ ЛОКАЛЬНО,ZIP,5 МБ,5535145,docs/dokumenty/Приказ-№55-О-внедрении-ИКОП-Сферум-и-приложение-26.05.2023.zip,
ОТСУТСТВУЕТ ЛОКАЛЬНО,PDF,40 КБ,40972,docs/dokumenty/Приказ-№6-от-11.01.2024-Об-утверждении-в-новой-редакции-Правил-внутреннего-трудового-распорядка-ГБПОУ-РО-СИТ.pdf,
